file,psnr,ssim,lpips
sample_0000.npy,34.162177461570074,0.8601703105053902,
sample_0000.png,34.16204629332053,0.8601814433929921,
sample_0001.npy,23.713569243221094,0.7464677161362171,
sample_0001.png,23.713706684150985,0.7464603532276154,
sample_0002.npy,23.834913710822235,0.39292833538340693,
sample_0002.png,23.864498569828122,0.39353367853754306,
sample_0003.npy,26.406484317482647,0.6156527895553261,
sample_0003.png,26.43276139327964,0.6179157874316722,
sample_0004.npy,26.311783959733436,0.8530054029369354,
sample_0004.png,26.310912958517175,0.8529993967058659,
sample_0005.npy,30.870890228964022,0.7503792284331172,
sample_0005.png,30.87648073975725,0.7505789362642988,
sample_0006.npy,21.782830218900475,0.6464637127726078,
sample_0006.png,21.784985382844436,0.6464632841011881,
sample_0007.npy,26.987414687263755,0.5826755579708534,
sample_0007.png,27.001899539312664,0.5829528673245855,
sample_0008.npy,28.705114070329323,0.7265404778859615,
sample_0008.png,28.709218101681518,0.7268303380877972,
sample_0009.npy,22.876479362691164,0.6775779945186167,
sample_0009.png,22.873600035120177,0.6774973399997852,
sample_0010.npy,32.10313317333904,0.8332934050626606,
sample_0010.png,32.11474147656088,0.8334269722578228,
sample_0011.npy,23.69898719789966,0.7811579825372696,
sample_0011.png,23.69792468148809,0.7811053541650772,
sample_0012.npy,26.867273537391092,0.5766003115646112,
sample_0012.png,26.869780090763633,0.5766417618009629,
sample_0013.npy,29.01266724836624,0.6925402383525372,
sample_0013.png,29.018490829317557,0.6928824705002308,
sample_0014.npy,24.41142226746576,0.7045485395729588,
sample_0014.png,24.40717274618084,0.7044907079439504,
sample_0015.npy,36.80911124246124,0.9257548751249314,
sample_0015.png,36.81623496199539,0.9258221624598503,
